n_frag,method,precision,recall,f1,ari,exact_slip,clean_fragments,same_slip_precision,cross_slip_rate,solve_s,top1,top50,precision_sd,recall_sd,f1_sd,ari_sd,exact_slip_sd,clean_fragments_sd,same_slip_precision_sd,cross_slip_rate_sd,n_seeds
1105,expert_top1,1.0,0.5010940919037199,0.6676384839650146,0.3474435712456992,0.3674911660777385,0.5447963800904977,1.0,0.0,0.0,0.5010940919037199,0.9387308533916848,,,,,,,,,1
1105,expert_top10,1.0,0.8096280087527352,0.8948004836759371,0.5599897067033376,0.7314487632508834,0.7900452488687782,1.0,0.0,0.0,0.5010940919037199,0.9387308533916848,,,,,,,,,1
1105,expert_top5,1.0,0.737417943107221,0.8488664987405541,0.5028597764966432,0.6431095406360424,0.7257918552036199,1.0,0.0,0.0,0.5010940919037199,0.9387308533916848,,,,,,,,,1
1105,expert_top50,1.0,0.9387308533916848,0.9683972911963884,0.6600924745041393,0.901060070671378,0.9276018099547512,1.0,0.0,0.0,0.5010940919037199,0.9387308533916848,,,,,,,,,1
1105,latent,0.6531365313653137,0.774617067833698,0.7087087087087087,0.6991607765585831,0.4628975265017668,0.4561085972850678,0.9003690036900369,0.099630996309963,223.6169366836548,0.5010940919037199,0.9387308533916848,,,,,,,,,1
1105,matching,0.2830440587449933,0.4638949671772429,0.351575456053068,0.1912040942067464,0.0424028268551236,0.0687782805429864,0.3805073431241655,0.6194926568758344,0.1896357536315918,0.5010940919037199,0.9387308533916848,,,,,,,,,1
1105,mutual,0.3492647058823529,0.4157549234135667,0.3796203796203796,0.2627662304336669,0.0918727915194346,0.1610859728506787,0.4669117647058823,0.5330882352941176,0.0,0.5010940919037199,0.9387308533916848,,,,,,,,,1
1105,top1,0.2072398190045249,0.5010940919037199,0.293213828425096,0.122055283067014,0.0494699646643109,0.0941176470588235,0.2787330316742081,0.7212669683257918,0.0,0.5010940919037199,0.9387308533916848,,,,,,,,,1
1148,expert_top1,1.0,0.4989293361884368,0.6657142857142857,0.307387098174436,0.3850931677018633,0.5435540069686411,1.0,0.0,0.0,0.4989293361884368,0.9357601713062098,,,,,,,,,1
1148,expert_top10,1.0,0.7965738758029979,0.8867699642431466,0.5117168845896971,0.7236024844720497,0.7883275261324042,1.0,0.0,0.0,0.4989293361884368,0.9357601713062098,,,,,,,,,1
1148,expert_top5,1.0,0.7366167023554604,0.8483353884093712,0.4679623854807004,0.6583850931677019,0.7343205574912892,1.0,0.0,0.0,0.4989293361884368,0.9357601713062098,,,,,,,,,1
1148,expert_top50,1.0,0.9357601713062098,0.9668141592920354,0.5854457690216951,0.9099378881987578,0.9250871080139372,1.0,0.0,0.0,0.4989293361884368,0.9357601713062098,,,,,,,,,1
1148,latent,0.5878260869565217,0.7237687366167024,0.6487523992322456,0.6411988637997083,0.3229813664596273,0.3493031358885017,0.8626086956521739,0.1373913043478261,348.17320132255554,0.4989293361884368,0.9357601713062098,,,,,,,,,1
1148,matching,0.2690863579474343,0.4603854389721627,0.339652448657188,0.1771453731914722,0.0403726708074534,0.0609756097560975,0.3704630788485607,0.6295369211514392,0.1912012100219726,0.4989293361884368,0.9357601713062098,,,,,,,,,1
1148,mutual,0.3263525305410122,0.4004282655246253,0.3596153846153846,0.2311425013638077,0.1149068322981366,0.1655052264808362,0.4485165794066317,0.5514834205933683,0.0,0.4989293361884368,0.9357601713062098,,,,,,,,,1
1148,top1,0.2029616724738676,0.4989293361884368,0.2885448916408668,0.1149655756541029,0.0559006211180124,0.0905923344947735,0.28397212543554,0.7160278745644599,0.0,0.4989293361884368,0.9357601713062098,,,,,,,,,1
1200,expert_top1,1.0,0.5185909980430529,0.6829896907216496,0.3257159234638117,0.3834355828220859,0.5341666666666667,1.0,0.0,0.0,0.5185909980430529,0.9393346379647748,,,,,,,,,1
1200,expert_top10,1.0,0.8238747553816047,0.9034334763948496,0.5216353611834246,0.7392638036809815,0.7916666666666666,1.0,0.0,0.0,0.5185909980430529,0.9393346379647748,,,,,,,,,1
