state,seed,method,theta,n_frag,top1,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P3,0,full,0.8472978603872034,731,0.808641975308642,OPTIMAL,0.6914414414414415,0.9475308641975309,0.7994791666666667,0.4975609756097561,0.4487004103967168,444,324,0.8486284379512582,0.9527027027027027,21,0.04729729729729726
P3,0,full,1.7346010553881064,731,0.808641975308642,OPTIMAL,0.7013888888888888,0.9351851851851852,0.8015873015873016,0.5219512195121951,0.4746922024623803,432,324,0.828464220979526,0.9583333333333334,18,0.04166666666666663
P3,0,full,2.9444389791664394,731,0.808641975308642,OPTIMAL,0.7189054726368159,0.8919753086419753,0.7961432506887052,0.5414634146341464,0.4993160054719562,402,324,0.789899193367679,0.972636815920398,11,0.027363184079602032
P3,0,full,4.595119850134589,731,0.808641975308642,OPTIMAL,0.7391304347826086,0.8395061728395061,0.7861271676300579,0.5024390243902439,0.493844049247606,368,324,0.7381239954968133,0.9809782608695652,7,0.01902173913043481
P3,0,full,5.806138481293727,731,0.808641975308642,OPTIMAL,0.7625,0.7530864197530864,0.7577639751552795,0.47804878048780486,0.49247606019151846,320,324,0.6584730429540816,0.990625,3,0.009375000000000022
P3,0,latent,-1.3862943611198906,731,0.808641975308642,OPTIMAL,0.6917960088691796,0.9629629629629629,0.8051612903225805,0.5219512195121951,0.466484268125855,451,324,0.8734671138404316,0.9600886917960089,18,0.039911308203991136
P3,0,latent,-0.6190392084062235,731,0.808641975308642,OPTIMAL,0.7020316027088036,0.9598765432098766,0.8109517601043025,0.5317073170731708,0.478796169630643,443,324,0.8715677086983443,0.9661399548532731,15,0.033860045146726914
P3,0,latent,0.0,731,0.808641975308642,OPTIMAL,0.7096774193548387,0.9506172839506173,0.8126649076517151,0.5414634146341464,0.49247606019151846,434,324,0.8578245032941403,0.9723502304147466,12,0.027649769585253448
P3,0,latent,0.8472978603872034,731,0.808641975308642,OPTIMAL,0.7227488151658767,0.941358024691358,0.8176943699731903,0.551219512195122,0.5129958960328317,422,324,0.8492010494633894,0.981042654028436,8,0.018957345971563955
P3,0,latent,1.7346010553881064,731,0.808641975308642,OPTIMAL,0.7261306532663316,0.8919753086419753,0.8005540166204985,0.5365853658536586,0.5088919288645691,398,324,0.8066924737290411,0.9824120603015075,7,0.017587939698492483
P3,0,latent,2.9444389791664394,731,0.808641975308642,OPTIMAL,0.7419354838709677,0.8518518518518519,0.7931034482758621,0.5121951219512195,0.5034199726402189,372,324,0.7646755557729987,0.989247311827957,4,0.010752688172043001
P3,0,latent,4.595119850134589,731,0.808641975308642,OPTIMAL,0.7564935064935064,0.7191358024691358,0.7373417721518988,0.43414634146341463,0.45964432284541723,308,324,0.6396616389440192,0.9902597402597403,3,0.009740259740259716
P3,0,latent,5.806138481293727,731,0.808641975308642,OPTIMAL,0.7584905660377359,0.6203703703703703,0.6825127334465196,0.36097560975609755,0.42544459644322846,265,324,0.5673663352283582,0.9886792452830189,3,0.01132075471698113
P3,1,full,-1.3862943611198906,732,0.8041237113402062,FEASIBLE,0.5765199161425576,0.9450171821305842,0.7161458333333334,0.3106796116504854,0.2855191256830601,477,291,0.8527928833912691,0.9182389937106918,39,0.08176100628930816
P3,1,full,-0.6190392084062235,732,0.8041237113402062,OPTIMAL,0.588865096359743,0.9450171821305842,0.725593667546174,0.3446601941747573,0.3114754098360656,467,291,0.8464332214379753,0.9250535331905781,35,0.07494646680942185
