idx,ari,f1,exact,top1,face_loss_mm,pullout_mean_mm,face_texture_noise,p_gap,p_fragment_lost,breaks_per_slip,hand_accuracy,notch_sigma_mm,notch_tol_mm,width_tol_mm
42,0.6497889705143677,0.5896414342629481,0.3625,0.6339285714285714,1.436928447987884,1.3630447807721793,0.4629164864774793,0.48542936691083005,0.1590859089232981,2.2687092798762025,0.9176493142545223,0.24582841265946628,7.923511259257793,0.6200964652001857
43,0.5521630471548187,0.5892857142857143,0.375,0.5892857142857143,1.436928447987884,1.3630447807721793,0.4629164864774793,0.48542936691083005,0.1590859089232981,2.1562814763747156,0.7866405212879181,0.24582841265946628,7.923511259257793,0.6200964652001857
44,0.6020230822379181,0.5916666666666667,0.4,0.5982142857142857,1.436928447987884,1.3630447807721793,0.4629164864774793,0.48542936691083005,0.1590859089232981,2.1562814763747156,0.9176493142545223,0.36674757516011597,7.923511259257793,0.6200964652001857
45,0.6399208698925762,0.6307053941908715,0.4,0.5982142857142857,1.436928447987884,1.3630447807721793,0.4629164864774793,0.48542936691083005,0.1590859089232981,2.1562814763747156,0.9176493142545223,0.24582841265946628,8.155848003923893,0.6200964652001857
46,0.6735337237799454,0.6451612903225806,0.4125,0.5982142857142857,1.436928447987884,1.3630447807721793,0.4629164864774793,0.48542936691083005,0.1590859089232981,2.1562814763747156,0.9176493142545223,0.24582841265946628,7.923511259257793,0.6750652079470456
47,0.7414110832971224,0.7860262008733625,0.5972222222222222,0.9339622641509434,0.3508785514160991,0.45357111217454077,0.07186560896225273,0.3777390228118747,0.22416677028872073,2.2687092798762025,0.7866405212879181,0.36674757516011597,8.155848003923893,0.6750652079470456
48,0.6397733697417329,0.6847826086956522,0.5,0.7159090909090909,1.1174012677744032,0.6883148195687682,0.3723718578927218,0.3879690404981374,0.17082742924802005,1.5774927290156482,0.6841186115145683,1.11775745684281,23.68429919332266,0.4627806136384606
49,0.6630214592558725,0.7027027027027026,0.5,0.7159090909090909,1.0727776513434946,0.6883148195687682,0.3723718578927218,0.3879690404981374,0.17082742924802005,1.5774927290156482,0.6841186115145683,1.11775745684281,23.68429919332266,0.4627806136384606
50,0.5823443139423252,0.6703910614525139,0.5,0.7045454545454546,1.1174012677744032,0.7765407200902701,0.3723718578927218,0.3879690404981374,0.17082742924802005,1.5774927290156482,0.6841186115145683,1.11775745684281,23.68429919332266,0.4627806136384606
51,0.5693290571764605,0.611111111111111,0.45161290322580644,0.6931818181818182,1.1174012677744032,0.6883148195687682,0.4305443258956074,0.3879690404981374,0.17082742924802005,1.5774927290156482,0.6841186115145683,1.11775745684281,23.68429919332266,0.4627806136384606
