tag,method,seed,n_frag,disperse_sigma_mm,block_mm,unit_known_frac,unit_error_frac,coherence,radius,theta,n_arcs,arc_recall,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
sigma,context_hard,0,1200,240.0,250.0,1.0,0.0,0.08414872798434442,4,-0.8472978603872036,918,0.0821917808219178,47.06870484352112,OPTIMAL,0.1810344827586207,0.0821917808219178,0.11305518169582773,0.03680981595092025,0.23083333333333333,232,511,0.07119171095823836,0.29310344827586204,164,0.7068965517241379
sigma,context_soft,0,1200,240.0,250.0,1.0,0.0,0.08414872798434442,4,2.9444389791664394,3547,0.7573385518590998,180.6260063648224,FEASIBLE,0.5406871609403255,0.5851272015655578,0.56203007518797,0.27300613496932513,0.31083333333333335,553,511,0.4772321820523696,0.7359855334538878,146,0.26401446654611216
sigma,context_hard,1,1148,240.0,250.0,1.0,0.0,0.0728051391862955,4,-0.8472978603872036,831,0.06852248394004283,102.02734541893005,OPTIMAL,0.1457286432160804,0.06209850107066381,0.08708708708708708,0.031055900621118012,0.24041811846689895,199,467,0.06971029303373286,0.2814070351758794,143,0.7185929648241206
sigma,context_soft,1,1148,240.0,250.0,1.0,0.0,0.0728051391862955,4,2.9444389791664394,3013,0.7473233404710921,180.52005219459534,FEASIBLE,0.5146771037181996,0.563169164882227,0.5378323108384458,0.2546583850931677,0.29878048780487804,511,467,0.466638590157888,0.7377690802348337,134,0.2622309197651663
sigma,context_hard,2,1105,240.0,250.0,1.0,0.0,0.06564551422319474,4,-0.8472978603872036,785,0.06564551422319474,55.300846576690674,OPTIMAL,0.15168539325842698,0.05908096280087528,0.08503937007874016,0.028268551236749116,0.24705882352941178,178,457,0.06391493588058306,0.25842696629213485,132,0.7415730337078652
sigma,context_soft,2,1105,240.0,250.0,1.0,0.0,0.06564551422319474,4,2.9444389791664394,3048,0.7658643326039387,180.55091547966003,FEASIBLE,0.545271629778672,0.5929978118161926,0.5681341719077568,0.3003533568904594,0.3357466063348416,497,457,0.5069475034406575,0.7404426559356136,129,0.25955734406438635
grid,context_hard,0,1200,30.0,125.0,1.0,0.0,0.3268101761252446,2,0.0,498,0.3111545988258317,3.6870391368865967,OPTIMAL,0.5918367346938775,0.2837573385518591,0.3835978835978836,0.1165644171779141,0.305,245,511,0.2713161380589098,0.8816326530612245,29,0.11836734693877549
grid,context_soft,0,1200,30.0,125.0,1.0,0.0,0.3268101761252446,2,0.8472978603872034,1528,0.8688845401174168,161.77230858802795,OPTIMAL,0.6600331674958541,0.7788649706457925,0.7145421903052065,0.38650306748466257,0.405,603,511,0.7020577281940924,0.9253731343283582,45,0.07462686567164178
grid,context_hard,1,1148,30.0,125.0,1.0,0.0,0.3404710920770878,2,0.0,485,0.3169164882226981,1.978452444076538,OPTIMAL,0.5659574468085107,0.284796573875803,0.378917378917379,0.14596273291925466,0.32926829268292684,235,467,0.2935624030398879,0.9191489361702128,19,0.08085106382978724
grid,context_soft,1,1148,30.0,125.0,1.0,0.0,0.3404710920770878,2,0.8472978603872034,1438,0.854389721627409,100.1958634853363,OPTIMAL,0.6428571428571429,0.7516059957173448,0.6929911154985193,0.36335403726708076,0.4059233449477352,546,467,0.7066115966906893,0.9432234432234432,31,0.0567765567765568
grid,context_hard,2,1105,30.0,125.0,1.0,0.0,0.2975929978118162,2,0.0,415,0.2844638949671772,3.0602822303771973,OPTIMAL,0.5550239234449761,0.2538293216630197,0.3483483483483484,0.10600706713780919,0.3076923076923077,209,457,0.2521743749933595,0.8133971291866029,39,0.1866028708133971
grid,context_soft,2,1105,30.0,125.0,1.0,0.0,0.2975929978118162,2,0.8472978603872034,1330,0.862144420131291,64.01680827140808,OPTIMAL,0.6704545454545454,0.774617067833698,0.7187817258883249,0.45229681978798586,0.46244343891402717,528,457,0.7228898682733065,0.9393939393939394,32,0.06060606060606055
