state,seed,method,theta,n_frag,status,solve_s,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P2,0,latent,-2.197224577336219,1200,FEASIBLE,120.4920699596405,0.6631016042780749,0.9706457925636007,0.7879269261318507,0.4815950920245399,0.4266666666666667,748,511,0.8727029327111924,0.9558823529411765,33,0.044117647058823484
P2,0,latent,-1.3862943611198906,1200,FEASIBLE,120.4400987625122,0.6734417344173442,0.9726027397260274,0.7958366693354685,0.5061349693251533,0.45,738,511,0.8748592307081886,0.9715447154471545,21,0.028455284552845517
P2,0,latent,-0.8472978603872036,1200,FEASIBLE,120.2145025730133,0.6817558299039781,0.9726027397260274,0.8016129032258064,0.5122699386503068,0.46166666666666667,729,511,0.8740760734017704,0.9753086419753086,18,0.024691358024691357
P2,0,latent,0.0,1200,OPTIMAL,35.45998787879944,0.6851595006934813,0.9667318982387475,0.801948051948052,0.5122699386503068,0.4691666666666667,721,511,0.8637523982903246,0.9778085991678225,16,0.02219140083217752
P2,0,latent,0.8472978603872034,1200,OPTIMAL,8.065200090408325,0.6961483594864479,0.9549902152641878,0.8052805280528053,0.5153374233128835,0.48333333333333334,701,511,0.8476410703220247,0.9800285306704708,14,0.0199714693295292
P2,0,latent,1.7346010553881064,1200,OPTIMAL,2.383587121963501,0.7090103397341211,0.9393346379647749,0.8080808080808082,0.5245398773006135,0.5008333333333334,677,511,0.8342899779714306,0.9867060561299852,9,0.013293943870014813
P2,0,latent,2.9444389791664394,1200,OPTIMAL,2.061493158340454,0.7186009538950715,0.8845401174168297,0.7929824561403509,0.50920245398773,0.5008333333333334,629,511,0.7899581218635628,0.9952305246422893,3,0.004769475357710662
P2,0,latent,4.595119850134589,1200,OPTIMAL,1.3940646648406982,0.7304964539007093,0.8062622309197651,0.7665116279069768,0.4815950920245399,0.4975,564,511,0.7119204134066531,0.9964539007092199,2,0.0035460992907800915
P2,0,latent,5.806138481293727,1200,OPTIMAL,1.53912353515625,0.7494949494949495,0.726027397260274,0.7375745526838967,0.44785276073619634,0.4975,495,511,0.6240970980392638,1.0,0,0.0
P2,0,latent,8.11142803829918,1200,OPTIMAL,1.2356071472167969,0.7677419354838709,0.4657534246575342,0.5797807551766139,0.26993865030674846,0.4041666666666667,310,511,0.4089099213768532,1.0,0,0.0
P3,0,full,-2.197224577336219,1200,FEASIBLE,120.19909620285034,0.6075949367088608,0.9393346379647749,0.7378939277478862,0.39263803680981596,0.3383333333333333,790,511,0.7743219696867636,0.8734177215189873,100,0.12658227848101267
P3,0,full,-1.3862943611198906,1200,FEASIBLE,120.16224241256714,0.6143958868894601,0.9354207436399217,0.7416602017067493,0.3987730061349693,0.35,778,511,0.7864745376995301,0.8881748071979434,87,0.1118251928020566
P3,0,full,-0.8472978603872036,1200,FEASIBLE,120.40050649642944,0.6191709844559585,0.9354207436399217,0.7451286048324239,0.4049079754601227,0.3591666666666667,772,511,0.7999395246927888,0.8989637305699482,78,0.10103626943005184
P3,0,full,0.0,1200,FEASIBLE,120.13088178634644,0.6312997347480106,0.9315068493150684,0.7525691699604743,0.4263803680981595,0.38083333333333336,754,511,0.7977561047170956,0.9084880636604774,69,0.09151193633952259
P3,0,full,0.8472978603872034,1200,OPTIMAL,15.39754343032837,0.6477900552486188,0.9178082191780822,0.7595141700404858,0.44785276073619634,0.405,724,511,0.7958386108894704,0.9212707182320442,57,0.0787292817679558
P3,0,full,1.7346010553881064,1200,OPTIMAL,2.6651453971862793,0.6548295454545454,0.9021526418786693,0.7588477366255143,0.450920245398773,0.415,704,511,0.7888160045486248,0.9318181818181818,48,0.06818181818181823
P3,0,full,2.9444389791664394,1200,OPTIMAL,1.0839447975158691,0.669710806697108,0.8610567514677103,0.7534246575342465,0.4570552147239264,0.4325,657,511,0.747464859036324,0.9375951293759512,41,0.06240487062404876
P3,0,full,4.595119850134589,1200,OPTIMAL,0.7312519550323486,0.7095070422535211,0.7886497064579256,0.7469879518072289,0.4447852760736196,0.45416666666666666,568,511,0.6851318017170244,0.9700704225352113,17,0.029929577464788748
P3,0,full,5.806138481293727,1200,OPTIMAL,0.5570182800292969,0.7306889352818372,0.684931506849315,0.7070707070707072,0.39570552147239263,0.44416666666666665,479,511,0.5969053002329845,0.9812108559498957,9,0.018789144050104345
P3,0,full,8.11142803829918,1200,OPTIMAL,0.47651124000549316,0.7605177993527508,0.4598825831702544,0.573170731707317,0.2883435582822086,0.4116666666666667,309,511,0.38576069905142685,0.9902912621359223,3,0.009708737864077666
P3,0,latent,-2.197224577336219,1200,FEASIBLE,120.27061486244202,0.6443850267379679,0.9432485322896281,0.7656870532168387,0.4601226993865031,0.4008333333333333,748,511,0.8338670687750197,0.9318181818181818,51,0.06818181818181823
P3,0,latent,-1.3862943611198906,1200,FEASIBLE,120.24752736091614,0.6451612903225806,0.9393346379647749,0.7649402390438248,0.4570552147239264,0.4058333333333333,744,511,0.8386476999032317,0.9327956989247311,50,0.06720430107526887
