tag,state,seed,n_frag,n_true_joins,top1,top5,top50,coherence,method,theta,theta_at_edge,solve_s,status,n_arcs,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,no_width,0.0,False,180.28243160247803,FEASIBLE,3287,0.6970172684458399,0.9386892177589852,0.7999999999999999,0.5050505050505051,0.4817127564674398,637,473,0.8385561502790896,0.9529042386185244,30,0.04709576138147564
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,no_strat,0.0,False,180.38430404663086,FEASIBLE,11107,0.583076923076923,0.8012684989429175,0.6749777382012466,0.3939393939393939,0.33987511150758254,650,473,0.6351405410205557,0.7892307692307692,137,0.21076923076923082
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,no_hand,1.7346010553881064,False,4.0274131298065186,OPTIMAL,1018,0.6869851729818781,0.8816067653276956,0.7722222222222223,0.48148148148148145,0.46119536128456734,607,473,0.7825449392035193,0.942339373970346,35,0.05766062602965405
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,full,0.8472978603872034,False,3.4374005794525146,OPTIMAL,1332,0.6671732522796353,0.9281183932346723,0.7763041556145004,0.4612794612794613,0.4299732381801962,658,473,0.8142573978101053,0.9316109422492401,45,0.06838905775075987
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,full_no_notch,0.0,False,1.0857479572296143,OPTIMAL,1737,0.6460176991150443,0.9260042283298098,0.7610773240660296,0.43097643097643096,0.39339875111507583,678,473,0.8085325385368831,0.9144542772861357,58,0.08554572271386429
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,full_no_hand,-2.197224577336219,True,180.143132686615,FEASIBLE,4062,0.6100981767180925,0.919661733615222,0.7335581787521079,0.367003367003367,0.33363068688670827,713,473,0.8049812173841977,0.879382889200561,86,0.12061711079943904
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,latent,0.0,False,168.98929452896118,OPTIMAL,2104,0.7121879588839941,0.9168241965973535,0.8016528925619834,0.5047021943573667,0.4780033840947547,681,529,0.8290065819136382,0.9515418502202643,33,0.048458149779735726
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,no_length,1.7346010553881064,False,4.836669445037842,OPTIMAL,1212,0.6862745098039216,0.8601134215500945,0.7634228187919464,0.4482758620689655,0.4500846023688663,663,529,0.7321344725718569,0.9110105580693816,59,0.08898944193061842
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,no_notch,-2.197224577336219,True,180.21031546592712,FEASIBLE,4878,0.6542056074766355,0.9262759924385633,0.7668231611893583,0.4106583072100313,0.37986463620981387,749,529,0.8273848515234624,0.9038718291054739,72,0.09612817089452608
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,no_width,0.0,False,180.48817610740662,FEASIBLE,3738,0.710948905109489,0.9206049149338374,0.8023064250411862,0.5078369905956113,0.4754653130287648,685,529,0.8371774957842101,0.9518248175182482,33,0.04817518248175179
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,no_strat,0.0,False,180.4855442047119,FEASIBLE,13283,0.5680224403927069,0.7655954631379962,0.6521739130434784,0.322884012539185,0.28341793570219964,713,529,0.5988587805900858,0.758765778401122,172,0.24123422159887797
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,no_hand,1.7346010553881064,False,6.2675158977508545,OPTIMAL,1140,0.7077625570776256,0.8790170132325141,0.7841483979763911,0.48589341692789967,0.46615905245346867,657,529,0.7775201480132616,0.9315068493150684,45,0.06849315068493156
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,full,0.8472978603872034,False,5.395007848739624,OPTIMAL,1500,0.6876790830945558,0.9073724007561437,0.78239608801956,0.45768025078369906,0.43147208121827413,698,529,0.7976019059370388,0.9240687679083095,53,0.0759312320916905
