part,level,seed,method,n_frag,top1,top50,solve_s,status,coherence,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,mix
misspecification,0.25,2,constrained,1212,0.4810126582278481,0.919831223628692,180.3822901248932,FEASIBLE,0.620253164556962,0.6252390057361377,0.689873417721519,0.6559679037111334,0.37267080745341613,0.41336633663366334,523,474,0.5278586610740793,0.8718929254302104,67,0.12810707456978965,
misspecification,0.25,2,bipartite,1212,0.4810126582278481,0.919831223628692,180.29362726211548,FEASIBLE,0.620253164556962,0.24170616113744076,0.43037974683544306,0.3095599393019727,0.034161490683229816,0.052805280528052806,844,474,0.14668155412318779,0.3175355450236967,576,0.6824644549763033,
misspecification,0.5,0,constrained,1381,0.41141732283464566,0.9311023622047244,181.04134488105774,FEASIBLE,0.6771653543307087,0.5608974358974359,0.6889763779527559,0.618374558303887,0.34705882352941175,0.387400434467777,624,508,0.5259114269096448,0.8605769230769231,87,0.13942307692307687,
misspecification,0.5,0,bipartite,1381,0.41141732283464566,0.9311023622047244,180.3881812095642,FEASIBLE,0.6771653543307087,0.1970954356846473,0.37401574803149606,0.25815217391304346,0.03235294117647059,0.06372194062273714,964,508,0.12550860324264643,0.29149377593361,683,0.70850622406639,
misspecification,0.5,1,constrained,1347,0.39473684210526316,0.917004048582996,180.36198353767395,FEASIBLE,0.6862348178137652,0.5278688524590164,0.6518218623481782,0.5833333333333334,0.2777777777777778,0.33853006681514475,610,494,0.49959220781586505,0.819672131147541,110,0.180327868852459,
misspecification,0.5,1,bipartite,1347,0.39473684210526316,0.917004048582996,180.23265624046326,FEASIBLE,0.6862348178137652,0.17819706498951782,0.3441295546558704,0.23480662983425415,0.033950617283950615,0.06607275426874536,954,494,0.11960007426341884,0.27253668763102723,694,0.7274633123689728,
misspecification,0.5,2,constrained,1326,0.44206008583690987,0.9120171673819742,180.34432768821716,FEASIBLE,0.6845493562231759,0.5273972602739726,0.6609442060085837,0.5866666666666666,0.3051948051948052,0.37254901960784315,584,466,0.4892036936057421,0.827054794520548,101,0.17294520547945202,
misspecification,0.5,2,bipartite,1326,0.44206008583690987,0.9120171673819742,180.3232352733612,FEASIBLE,0.6845493562231759,0.20174482006543076,0.3969957081545064,0.2675343456254519,0.032467532467532464,0.07616892911010557,917,466,0.12841467339209203,0.2824427480916031,658,0.7175572519083969,
misspecification,0.75,0,constrained,1440,0.38016528925619836,0.8966942148760331,180.25318837165833,FEASIBLE,0.6652892561983471,0.49206349206349204,0.640495867768595,0.5565529622980251,0.2946708463949843,0.35555555555555557,630,484,0.4261782026780406,0.792063492063492,131,0.20793650793650797,
misspecification,0.75,0,bipartite,1440,0.38016528925619836,0.8966942148760331,180.13261818885803,FEASIBLE,0.6652892561983471,0.17348927875243664,0.3677685950413223,0.2357615894039735,0.034482758620689655,0.06527777777777778,1026,484,0.09001614929457752,0.23391812865497075,786,0.7660818713450293,
